Difference, Count
1, 154135347
2, 306869610
3, 3361629
4, 85747230
5, 618238
6, 40388468
7, 380929
8, 21282279
9, 190500
10, 11383820
11, 52677
12, 9072925
13, 58746
14, 7736624
15, 56814
16, 5551657
17, 49686
18, 4268212
19, 56965
20, 3206203
21, 51419
22, 3135643
23, 48965
24, 3153590
25, 31603
26, 3118668
27, 28017
28, 1266229
29, 25717
30, 728256
31, 56216
32, 648006
33, 28969
34, 567200
35, 25834
36, 465170
37, 37182
38, 443164
39, 48965
40, 311994
41, 195647
42, 332479
43, 35523
44, 222979
45, 35855
46, 281770
47, 34918
48, 142988
49, 15095
50, 249482
51, 5185
52, 92115
53, 9306
54, 41717
55, 2236
56, 27092
57, 2421
58, 19610
59, 2008
60, 19956
61, 4349
62, 12207
63, 2511
64, 13709
65, 3954
66, 8126
67, 2549
68, 8067
69, 267
70, 5160
71, 76
72, 3232
73, 4213
74, 2155
75, 35
76, 1804
77, 11
